This is a log file of a temperture control run being done in Physics 350. It records the temperature, power, the control bandwidth, and settle bandwidth parameters versus time.

3/10/2016
4:59 PM

DDD

Temp	Power	Setpoint	C. band	S. Band	Settle time
46.811	0.000	30.000	4.000	1.000	30.000
46.666	0.000	30.000	4.000	1.000	30.000
46.497	0.020	30.000	4.000	1.000	30.000
46.328	0.041	30.000	4.000	1.000	30.000
46.162	0.041	30.000	4.000	1.000	30.000
46.000	0.040	30.000	4.000	1.000	30.000
45.841	0.039	30.000	4.000	1.000	30.000
45.678	0.038	30.000	4.000	1.000	30.000
45.533	0.037	40.000	4.000	1.000	30.000
45.383	0.036	40.000	4.000	1.000	30.000
45.234	0.036	40.000	4.000	1.000	30.000
45.085	0.036	40.000	4.000	1.000	30.000
44.936	0.036	40.000	4.000	1.000	30.000
44.791	0.036	40.000	4.000	1.000	30.000
44.650	0.035	40.000	4.000	1.000	30.000
44.508	0.034	40.000	4.000	1.000	30.000
44.369	0.034	40.000	4.000	1.000	30.000
44.230	0.034	40.000	4.000	1.000	30.000
44.093	0.033	40.000	4.000	1.000	30.000
43.958	0.033	40.000	4.000	1.000	30.000
43.823	0.033	40.000	4.000	1.000	30.000
43.690	0.033	40.000	4.000	1.000	30.000
43.559	0.032	40.000	4.000	1.000	30.000
43.433	0.031	40.000	4.000	1.000	30.000
43.309	0.030	40.000	4.000	1.000	30.000
43.185	0.030	40.000	4.000	1.000	30.000
43.063	0.030	40.000	4.000	1.000	30.000
42.942	0.029	40.000	4.000	1.000	30.000
42.822	0.029	40.000	4.000	1.000	30.000
42.701	0.030	40.000	4.000	1.000	30.000
42.580	0.030	40.000	4.000	1.000	30.000
42.458	0.030	40.000	4.000	1.000	30.000
42.338	0.029	40.000	4.000	1.000	30.000
42.218	0.029	40.000	4.000	1.000	30.000
42.098	0.029	40.000	4.000	1.000	30.000
41.979	0.027	40.000	4.000	1.000	30.000
41.862	0.041	40.000	4.000	1.000	30.000
41.746	0.061	40.000	4.000	1.000	30.000
41.633	0.082	40.000	4.000	1.000	30.000
41.521	0.102	40.000	4.000	1.000	30.000
41.413	0.123	40.000	4.000	1.000	30.000
41.310	0.141	40.000	4.000	1.000	30.000
41.208	0.160	40.000	4.000	1.000	30.000
41.110	0.178	40.000	4.000	1.000	30.000
41.016	0.196	40.000	4.000	1.000	30.000
40.927	0.214	40.000	4.000	1.000	30.000
40.843	0.229	40.000	4.000	1.000	30.000
40.766	0.244	40.000	4.000	1.000	30.000
40.696	0.256	40.000	4.000	1.000	30.000
40.634	0.267	40.000	4.000	1.000	30.000
40.580	0.275	40.000	4.000	1.000	30.000
40.532	0.285	40.000	4.000	1.000	30.000
40.489	0.292	40.000	4.000	1.000	30.000
40.452	0.298	40.000	4.000	1.000	30.000
40.421	0.302	40.000	4.000	1.000	30.000
40.393	0.306	40.000	4.000	1.000	30.000
40.371	0.310	40.000	4.000	1.000	30.000
40.353	0.311	40.000	4.000	1.000	30.000
40.337	0.313	40.000	4.000	1.000	30.000
40.325	0.315	40.000	4.000	1.000	30.000
40.315	0.315	40.000	4.000	1.000	30.000
40.308	0.315	40.000	4.000	1.000	30.000
40.304	0.314	40.000	4.000	1.000	30.000
40.301	0.314	40.000	4.000	1.000	30.000
40.299	0.312	40.000	4.000	1.000	30.000
40.300	0.310	40.000	4.000	1.000	30.000
40.301	0.309	40.000	4.000	1.000	30.000
40.305	0.307	40.000	4.000	1.000	30.000
40.311	0.304	40.000	4.000	1.000	30.000
40.321	0.300	40.000	4.000	1.000	30.000
40.331	0.295	40.000	4.000	1.000	30.000
40.344	0.290	40.000	4.000	1.000	30.000
40.356	0.287	40.000	4.000	1.000	30.000
40.367	0.283	40.000	4.000	1.000	30.000
40.378	0.278	40.000	4.000	1.000	30.000
40.389	0.275	40.000	4.000	1.000	30.000
